Hindi,Bhili
समझ से ही हर कार्य होता है।,हमज़ण ही बदू काम थाई से।
आपका नाम क्‍या है ?,तमारू नाम हॅू से।
मेरा नाम रवि है ?,मारू नाम रवि से।
मैं पन्‍द्रह साल का हॅू ?,हॅु पन्‍द्ररे वरहेनो से।
आप कहां जा रहे हो ?,तमु कां जाई रिया से।
मैं पढने जा रहा हॅू।,हॅू भणवा जाई रियो से।
मुझे नही पता।,मन नी मालम।
तुम अच्‍छे हो।,तमु असल से।
झूठ मत बोलो।,दुताई मत करो।
मेरे साथ आओ।,म्‍हारी हाते आवो।
लेकिन क्‍यों ?,पुण किम्।
मैं कौन हॅू ?,हॅू कोण से।
वह घर जा रही है।,ते घर जाई रि से।
वह कौन है ?,त्‍यो कूण से।
वह एक इंजीनियर है।,त्‍यो एक इंजिनियर से।
वह एक डॉक्‍टर है।,त्‍यो एक डाक्‍टर से।
वे शिक्षक हैं।,त्‍यो माडसाब से।
वह एक गायक है।,त्‍यो एक गीतु गावो वाळो से।
हम जाते हैं।,हमु जाई रा से।
तुम जाते हो।,तमु जाई रा से।
वह जाता है।,त्‍यो जाई रियो से।
वह जाती है।,ते जाई रि से।
सीता जाती है।,सीता जाई रि से।
आकाश जाता है।,आकास जाई रियो।
आकाश और आशीष जाते हैं।,आकास अने आसिस जाई रां से।
चन्‍द्रमा गोल है।,सांद गोळ से।
मैं लिखता हॅू।,हॅू लखु से।
हम लिखते हैं।,हमु लिखएं से।
तुम लिखते हो।,तमु लिखो से।
वे लिखते हैं।,त्‍यां लिखे से।
वह लिखता है।,त्‍यों लिखे से।
वह लिखती है।,बते लिखे से।
हम सभी – आये।,हमु बदा आया।
तुम सब – आये।,तमु बदा आया।
सभी आ रहे हैं।,ती बदा आयां।
वह सब खा जायेगा।,त्‍यो हंग्‍लु खाई जाहे।
आप कहां जा रहे हैं।,तमु कां जाई रां से।
आप कैसे जाऐंगे।,तमु किकम जाहो।
इधर आओ।,ओरा आवो।
तुम बुध्दिमान हो।,तमु अकल वाळा से।
मैं एक विद्यार्थी हॅू।,हॅू एक भड़वा भाळों से।
हरी अमीर है।,हरी धापीयो से।
शीला निर्धन है।,शीला गरिब से।
आप कैसे हो।,तमु किकम् से।
आप कौन हो।,तमु कुण से।
आप कहां से आये हैं।,तमु कां थी आया।
वे कहां से आये हैं।,ती कां थी आया।
आप कहॉ रहते हो।,तमु कां रो से।
माता का आदर करो।,आई नी कदर करो।
बात मानो।,वात हामळ।
अपना पाठ याद कर।,आपडों पाठ याद कर।
आकर खाना खा।,आविन खावेणु खा।
मानव पाठशाला जा।,मानव इस्‍कूल जा।
नाटक मत कर।,ढोंग मत करे।
कमल बाजार जा।,कमल बजार जा।
लाल टमाटर ला।,राता टामेटा लाव।
"चाचा आया, साथ में चार गाजर लाया।",काको आयो हाते सार गाजर लायो।
आशा इधर आ।,आशा अई आओ।
बालक झगडा मत कर।,सोरा लडाई मत कर।
फल खाकर बलवान बन।,फोल खाईन ताकत वालो बाणि जा।
गोशाला में चारा रख।,गोसाला मां सारूं मेल।
कब जाना है।,कदी जाऊ से।
आलस्‍य मत कर।,अलसाय मत।
पूनम पूजा कर।,पूनम पूज़ा कर।
राजू झूला झूल।,राजू हिसलो हिस।
अनूप खजूर खा।,अनुप खज़ुर खां।
भारत का राष्‍ट्रीय ध्‍वज क्‍या है?,भारत तो झंडो हॅू से।
भारत का राष्‍ट्रीय गीत क्‍या है?,भारत लु गीतु हॅू से।
भारत का राष्‍ट्रीय गान क्‍या ह?,भारत गान सु से।
भारत का राष्‍ट्रीय चिन्‍ह।,भारत नु ओलखान निसान हॅू से।
भारत का राष्‍ट्रीय पक्षी ।,भारत नु पचांग से।
भारत का राष्‍ट्रीय पशु।,भारत नु वाक्‍य से ।
भारत की राष्‍ट्रीय भाषा।,भारत नी भाषा हॅू से।
भारत की राष्‍ट्रीय लिपि ।,भारत नी लिपी हॅू से।
भारत का राष्‍ट्रीय ध्‍वज तिरंगा है।,भारत नो झण्‍डों तिरंगो से।
भारत का राष्‍ट्रीय गीत वन्‍दे मातरम है।,भारत नु गीत वन्‍देमातरम से।
भारत का राष्‍ट्रगान जन-गण-मन है।,भारत नु राष्‍ट्र गान जण-गण-मण से।
भारत का राज चिन्‍ह सारनाथ स्थित अशोक के सिंह स्‍तंभ है।,भारत नु सिन् सारनाथ । मा स्थित अशोक स्‍तंभ से।
भारत का राष्‍ट्रीय पक्षी मोर है।,भारत नु पंखेनु मोर से।
भारत का राष्‍ट्रीय पशु बाघ है।,भारत नु राष्‍ट्रीय पशु बाघ से।
भारत की राष्‍ट्रीय भाषा हिन्‍दी है।,भारत नी भाषा हिन्‍दी से।
भारत की राष्‍ट्रीय लिपी देवनागरी लिपी है।,भारत नी लिपी देवनागरी से।
आम वाला आम लाया।,कैरी वालो आयो कैरी लायो।
लाल टमाटर खा।,रातु टामेटु खा।
राधा अपना काम कर।,राधा आपडू काम कर।
बाजार जाकर सामान ला।,बजार जाईन समान लाव।
खाना खाकर पाठशाला जा।,खावेनु खाईने स्‍कूल जा।
आज का अखबार पढ।,आज नु अकबार पढ़।
आम का अचार मत खा।,कैरी नु असार मत खाए।
मामा गाजर का हलवा लाया।,मामो गाजर नो हलवो लायो।
राम उपवन जाकर कसरत कर।,राम वाग मां जाईने कसरत कर।
जाकर सो जा।,जाईन हुई जा।
आकाश पर बादल छाया।,हरग मा बादलां लुम्‍बाईरिंया।
लता मामा का कहना मान।,लता मामा नु केवु मान।
कमला आ खाना खा।,कमला आव खावेणु खा।
कान नाक साफ कर।,कायडू नकडू साफ कर।
धन रखकर चल।,रूपया मेलिन साल।
अब यह खत पढ।,आव यु कागदु पढ।
नल पर जल भर।,नल थी पाणी भर।
छम-छम मत कर,सम-सम मत करे।
जल भर।,पाणी भर।
आम चख,कैरी साख।
घर चल।,घेर साल।
मत कर।,रेवादो।
डर मत।,समके मत।
पत्र पढ।,सिटी भणो।
बस पर चढ।,मोटर मां सढ़।
अब फल चख।,हाब फोळ साख।
छल मत कर।,दगो मत करे।
झट-पट उठ।,झट पट उठी जा।
यज्ञ कर।,हवन करो।
डग मग मत कर।,डगा-डगी मर करो।
पथ पर चल।,वाट पर मत साल।
इस रथ पर मत चढ।,इना रथ पर मत सढो।
गढ पर चढ़।,गढ़ पर सढ़।
आज कल मत कर।,आज काल मत कर।
झट पट चल।,झट-पट मत साल।
मेरा भाई विद्यालय जाता है।,मार भाई स्‍कूल जाये से।
मै रामायण का पाठ करता हॅू।,हॅू रामायण पाठ पडू से।
वे बाग से घूमने जाते है।,ते बाग मां भरवा जाये से।
वह रात में पानी पीता है।,त्‍यो रात मां पाणी पिवे से।
भगवान हमारा भला करे।,भगवान हमारू भलु करे
हम प्रतिदिन विद्यालय जायेंगे।,हमु हरदन इस्‍कुल जाहुं
हमें कभी अभिमान नही करना चाहिए।,हमुने कदी बी गरूर नी करवु जोई।
माता-पिता का सम्‍मान करना चाहिए।,आई – बा नु मान राखो।
हमको बड़ो का सम्‍मान करना चाहिए ।,हमुन मोटा नु मान राखू जोई।
हमें पढाई करना चाहिए ।,हमुन भणवु जायें।
हमें माता-पिता का ध्‍यान रखना चाहिए।,हमुन आई-बा नु ध्‍यान राखवुं जोयें।
कोयल मीठी बोलती है।,कोयेल मिठु बोले से।
बिल्‍ली दूध पीती है।,मिनकी दूध पिवे से।
मेरे गांव में बन्‍दर है।,मारो गांव असल से।
बन्‍दर उछल कूद करता है।,बांदरू धमाल चोकड़ी मसावे से।
बरगद का पेड़ विशाल होता है।,वडला नु झाड़ मोटू से।
पेड़ शुद्ध हवा देते हैं।,झाड़का ताजी वांइरू आले से।
आज रविवार है।,आज दितवार से।
नीम औषधीय पेड़ है।,लीमड़ों दवानो झाड़ से।
हम खेत में जायेंगे।,हमु खेतर मा जाहूं ।
खेत में चने बोये है।,खेतर मा सणां होरिया से।
खेत में पानी सींचना है।,खेतर मा पाणी फेरवुं से।
रामू विद्यालय गया।,रामु इस्‍कुल ग्‍यो से।
कल परीक्षा है।,काल परीक्षा से।
कल इन्‍दौर जायेंगे।,काल इन्‍दौर जा हूं।
यह मेरी कॉफी है।,ये मारी कापी से।
यह मेरा गांव है।,यो मारू गाम से ।
गांव में एक नदी है।,गाम मा एक नन्‍दी से ।
गांव मे सडक है।,गाम मा सड़क से ।
मेरा गांव हरा-भरा है।,म्‍हारू गाम ळीळूळेहर से।
गांव में एक मन्दिर है।,गाम मा एक मन्‍दर से ।
गांव मे शिव मन्दिर है।,गाम मा शिव मन्‍दर से ।
बकरी घास खाती है।,बोकड़ी सारू खाए से ।
किसान खेती करता है।,कृषाण खेतर करे से ।
गांव में तालाब है।,गाम मा तळाव से।
मेरा नाम रमीला है।,मारू नाम रमीला से।
यह कलम है।,ये लीट से ।
मुर्गी अण्‍डा देती है।,कुकड़ी इण्‍डू मेले से ।
मेरा नाम राम है।,मारू नाम राम से ।
घर में शादी है।,घेर मां वीवा से ।
मेरे घर कुंआ है।,मारे घेर कुवो से ।
कुंऐ में मछली है।,कुवां मा मासला से
मछली को खाते है।,मासलां खायें से।
मेरे घर आम का पेड़ है।,मारे घेर आम्‍बा नु झाड़ से ।
आम अच्‍छे लगते है।,केरियो असल लागे से ।
आम से रस निकलता है।,केरियो नो रोह निकळे से।
मेरे खेत में गन्‍ने लगे है।,मारा खेतर मा हाटा से ।
गन्‍ने का रस अच्‍छा लगता है।,हाटा नो रोह असल से।
गन्‍ने से शक्‍कर बनती है।,हाटा थी खाण्‍ड बणे से ।
घर एक परिवार है।,घेर एक परिवार से।
परिवार में माता – पिता है।,परिवार मा आई-बा से ।
हम चार भाई-बहन है।,हमु श्‍यार भाई बुहुन से ।
सबसे बड़ा भाई नौकरी में है।,बदा थी मोटो भाई नौकरी मा से।
मेरे घर चार गाय है।,मारे घेर श्‍यार डगरियों से।
मेरे घर दो बैल है।,मारे घेर बै उगरा से।
मोहन मेरा दोस्‍त है।,मोहन मारो दोस से ।
मोहन रोज विद्यालय जाता है ।,मोहन रोज इस्‍कुल जाये से ।
विद्यालय में मेरे कई दोस्‍त है।,इस्‍कुल मा मारा कई दोस से ।
विद्यालय मेरे घर से दूर है।,इस्‍कुल मारा घेर थी सेटी से ।
शारदा मेरी बहन है।,शारदा मारी बुहून से ।
सूरज पूर्व दिशा से निकलता है।,सुरण उगमणा थी निकळे से ।
हमारें विद्यालय 11 बज लगता है।,मारी इस्‍कुल अग्‍यार वागे लागे से।
हमारे विद्यालय में एक मैदान है।,मारी इस्‍कुल मा एक मैदान से ।
हमारे विद्यालय में अच्‍छे शिक्षक हैं,मारी इस्‍कुल मा असल मासतर से।
हमारे विद्यालय में बगीचा है।,मारी इस्‍कुल मा बगीसो से ।
मनीषा मेरी दोस्‍त है।,मनीषा मारी दोस से ।
हमारी विद्यालय में एक पुस्‍तकालय है।,मारी इस्‍कूल मा एक सोपडियो नो भण्‍डार से
मेरी पिताजी के तीन भाई है।,मारा बा ना तीन भाई से।
मेरे पिताजी सब में बड़े है।,मारो बा बदां थी मोटो से ।
मेरे गांव में एक जंगल है।,मारा गाम मा एक मोटी उजाड़ से।
जंगल में कई जंगली जानवर है।,उजाड़ मा नरा जलावरा से।
जंगल बहुत बड़ा है।,उजाड़ घणी मोटी से ।
जंगल में बहुत शेर है।,उजाड़ मा नरा नाहर से ।
जंगल में जंगली सुअर रहते है।,उजाड़ मा उजाड़ी हुवर रे से ।
जंगल बहुत अधिक फैला हुआ है।,उजाड घणी जगा मा फेलेलि से।
जंगली में लोमड़ी रहती है।,उजाड़ मा खोपड़ी पणरे से ।
जंगल में कई तरह के पेड़ है।,उजाड़ मा कई जातना झाड़कों से।
जंगल में बरगद के विशाल पेड़ है।,उजाड़ मा वडला नु मोटु झाड़ से ।
जंगल में बन्‍दर रहते है।,उजाड़ मा वांदरा पंण रे से ।
जंगल में साफेद हाथी भी है।,उजाड़ मा धोळा पण से।
जंगल में औषधीय पौधे है।,उजाड़ मा दवा ना पौदा से ।
नदी जंगल के बीच में है।,नन्‍दी पहाड नी वसमा थी निकळे से ।
हमारे गांव में एक अस्‍पताल है।,मारा गाम मा दवाखानु पंण से ।
हमारे गांव में कुछ घर कच्‍चे है।,मारा गाम मा नरा घेरू कासां से ।
हाथी एक बड़ा जानवर है।,हाती एक मोटू जनावरू से ।
मछली जलीय जीव है।,मासळी पाणी वळू जीवणों से।
होली के आठ दिन पहले से भगोरिया मेले की तैयारियां प्रारम्‍भ हो जाती है।,होली ना आठ दन पहली गलालीया नी ताळ- मेळ सालु थाय से ।
कल से भगोरिया शुरू हो रहा है।,काल थी भगोरिया सालु थाय रां से ।
पहला भगोरिया पारा ग्राम का है।,पहला गलालीयु पारा गाम नु से।
भगोरिया आदिवासी हाट कहलाता है।,गलालीयुं आदिवासीयों नु हाट के वाय से ।
भगोरिया बडे ही हर्षोलास एवं आकर्षण के हाट होते हैं।,गलालीयु मोटी खुशी अने देखवा नु हाट से।
हाट में मादल भी बजाये जाते है।,हाट मा मांदला पण वगाड़े से
इसमें झुले लगते है।,इनमा डोलर लागे से।
भगोरिये में ढोल बजाकर सामुहिक नृत्‍य किया जाता है।,गलालीया मा ढोल वगाडीन भेळा नासे से।
इस मेले में ताड़ी का सेवन किया जाता है।,गलालीया मा ताड़ नी ताड़ी पण पिवे से।
हाट मेले में दूर-दूर से लोग आते है।,मेळा मा सेटी –सेटी ना मनखु पण आवे से।
हाट में गेर की नृत्‍य रैली निकाली जाती है।,हाट मा गेहर पण काड़े से।
हाट में युवक –युवतियां नाचते हैं।,हाट मा सोरा –सोरियों नासे से।
इस मेले में झूला एवं चकरी भी लगती है।,मेळा मा डोलर सकरी पर लागे से।
भगोरिया में बांसुरी वादन भी होता है।,गलालीया मा वाहली पण वगाड़े से।
"भगोरिया, झाबुआ-अलीराजपुर का प्रसिद्ध त्‍यौहार है।",गलालीयु झाबुआ-अलीराजपुर नु मोटो तेहवार से।
भगोरिया हाट सभी मिल-जुल कर मनाते हैं।,गलालीयु बदा हळी-मळीन वाळे से
इस मेले की शुरूआत कसुमोर तड़वी राजा के द्वारा की गई।,गलालीया नी शुरूआत तड़वी राजो बाबू कसुमोर करी से ।
भगोरिये मेले का प्रारंभ ग्राम भगोर जिला-झाबुआ से की गई।,गलालीयु भगोर गाम झाबुआ जिला सालु थायु से।
भगोर किसी समय झाबुआ की राजधानी थी,भगोर गाम कईना टेम मा झाबुआ नी राजधानी हतो।
भगोरिये में लोग पारम्‍परिक वेशभूषा पहनकर शामिल होते है।,गलालीया मा लोकु आपड़ा देसी सीतरा पेहरीन भेड़ा थाय से।
भगोरिये में एक जैसी वेशभूषा पहनकर युवक/युवतियां शामिल होते हैं।,गलालीया मा एक हरकां सीतरां पेहरीनसोरा अन सोरियां मेळा थाय से ।
भगोरिये में आदिवासी संगीत की धुन पर लोग नाचते हैं।,गलालीयां मा आदिवासी गीतु उपर लोकु नासे से।
भगोरिया सात दिनों तक चलने वाला हाट है।,गलालीयु हात दन हुदु सालवा वालु हाट से
भगोरिया मेले में झाबुआ जिले एवं आसपास के क्षेत्र के लोग शामिल होते हैं।,गलालीया मा झाबुआ जिलो अने ऐरे –मेरे ना लोकू मेला थाय से।
लड़कियां चांदी के गहने पहनकर कार्यक्रम में सम्मिलित होती है।,मेळा मा सोरियो सांदी ना गरीणा पेहरीन भेलीयो थाय से।
स्‍त्री पुरूष सभी लोग रंग बिरंगे वस्‍त्र पहनते है।,बइरयो अन आदमी बदां लोकूं भावे –भाव ना सितंरा पेहरे से।
भगोरिया में काकड़ी व्‍यंजन का अपना एक विशेष महत्‍व है।,गलालीया मा काकडी नो बिजो हवाद से।
"आदिवासी समाज कहीं भी रहकर कोई भी कार्य कर रहा हो, लेकिन भगोरिये में घर अवश्‍य आता है।",आदिवासी लोकूं कई बी रै कईना वी काम मा करता आहे पण त्‍या गलालीया मा जरूर आव है।
"भगोरिये हाट में व्‍यापार के लिए गाय, बैल, बकरे बेंचे जाते है।","गलालीया हाट में वेपार हारू डगरी, बळद अन बोकड़ा बैसे से।"
भगोरिया मेला आज आनन्‍द के साथ-साथ व्‍यापारिक मेला भी है।,गलालीयु हाट आज मजा ने हाति –हाति वेपार नो पण मेळो से।
मेले में मिठाई की जमकर विक्री होती है।,मेळामा मिठाई नी पण जबर बेक्री थाय से।
इस मेले में आदिवासी समाज द्वारा चांदी की खरीदी भी की जाती है।,इना मेळा मा सांदी नी खरीदी पण थाय से ।
आखरी भगोरिया की शाम को होली का दहन किया जाता है।,सेहला भगोरिया नी मांज नी होली वाळे से
"होली त्‍यौहार के पहले बुआ, भांजों को विशेष निमंत्रण (तेड़ा) किया जाता है।","होली तेहवार नी पेहला फुई, भाणेज इनान तेडू करू से।"
घरों में विशेष व्‍यंजन दाल पानिये बनाये जाते है।,सी घेर मा असल खाव वानु दाल –पानियां बणावे से।
सबसे पहले भांजो को खाना खिलाया जाता है।,सबथी पेहलु भाणज्‍या ने खावो खवाड़े से।
होलिका दहन के समय गांव का तड़वी सभी ग्राम बासियों के साथ दहन स्‍थल पर जाते है।,होली वड़वा ना टेम पर गाम नो तड़वी अने बदा मनरक तां जाए से।
होलिका दहन के पहले स्‍थनीय ढोल के साथ आदिवासी नृत्‍य किया जाता है।,होली बाळवा हारू ताहनो ढोल पण वगाडी नासे से ।
होलिका दहन का मुहुर्त स्‍थानीय तड़वी पूजारियों के द्वारा देखा जाता है।,होली नु मुरत गाम ना तड़वी अन पुजारा काडे से।
होलिका दहन के पहले स्‍थानीय आदिवासी गीत गाये जाते है।,होली बाळवा नी पेहलू आदिवासी गीत गावे से।
आदिवासी गरबा नृत्‍य किया जाता है।,आदिवासी गरबो पण रखे रमे।
कण्‍ड़े और लकडी दोनो से अलग-अलग होलिका दहन की जाती है।,साणा अन लाकड़ा बेहूं नी होळी नाळी-नाळी बाळे से
कण्‍डे और लकड़ी दोनों होलिकाओं के बीच में दो अलग-अलग झण्‍डे लगाये जाते हैं।,साणा अने लाकड़ा नी बहे अंडे होलीयों नी वसमा एक-एक झण्‍डो लगाड़े से।
होलिका दहन के बीच में एक व्‍यक्ति इन झण्‍डोंको लेकर भागता है।,होली बळती औहे तेर एक आदमी त्‍यों झण्‍डों लीन नाहे से।
गांव वालों के द्वारा भागने वालो को पत्‍थर मारे जाते है।,गांव वाला झण्‍डों लीन नाहे तीनान भाटा मारे से।
होलिका दहन के बाद होली गोठ पूरे गांव के घर–घर मांगा जाता है।,होळी बाडवा नी पसी होळी गोठ घेर-घेर मांगे से।
ढोल बजाकर रात भर युवाओं की टोली हर घर से कुछ रूपये या नारियल मांगते है।,ढोल बगाडीन आखी रात सोरा घेर-घेर थी रूपिया अने नारियोड़ मांगे से।
होली में शामिल लोग इस गोठ से प्राप्‍त रूपये और नारियल आपस में बांट लेते है।,टोली मा भेळा थायलां रूपया एने नारीटोल वाटी ले से।
होलिका दहन के दूसरे दिन गल बाबजी का मेला भरता है।,होळी ने हवेा उठिन बाबो गळ भराए से
गल बाबजी मेले में स्‍थानीय ग्रामीणों के द्वारा की गई मन्‍नत उतारी जाती है।,गळ बाबा ना मेमा गाम वाला मानता उतारे से।
मन्‍नत वाले व्‍यक्ति को दूल्‍हे के रूप में तैयार कर गल बाबजी मेले में ले जाते है।,मानता वाळा आदमी लाडा जैम हणगारे अन बाबजी ना मेळा मा ली जाए से।
ढोल के साथ-साथ पारम्‍परिक वेशभूषा में गल बाबजी मेले में सभी ग्रामीण शामिल होते है।,ढोल नी हाते हाते आपड़ा दे सितरां मा बाबो गल देखवा गाम वाळो जाए से।
"भगोरिया, होली और गल बाबजी के पहले आदिवासी समाज द्वारा कोई शुभ कार्य नहीं किया जाता है।","गलालीयां, होली अने गलबाबजी थी पेहलु कोई बी हकुन वाळां काम नी करे।"
इन सब त्‍यौहारों के बाद शादियां प्रारंभ होती है।,इना बदा तेहवार ना पसी विवा सालु थाए से ।
होली के ग्‍यारह दिन बाद गोल गधेड़ो त्‍यौहार मनाते है।,होली ना अग्‍यारह दन पसी गोळ गधेडो तेहवार मनावे से।
एक बड़ी और लम्‍बी लकड़ी पर तेल लगाकर खड़ी कर देते है।,एक लाम्‍बी लकड़ी ऊपर पर तेल लगाड़ी उंबी करे से।
इस लकड़ी के उपर गुड़ की पोटली बांध दी जाती है।,इनी लाकड़ी उपर गोड़ नी पोटळी बांदी दे से।
इस गुड को प्राप्‍त करने युवा उपर चढते है।,इना गोड़ हारू सोरा उपर सड़े।
ऊपर चढने वाले व्‍यक्ति को नीचे लड़कियों द्वारा डण्‍डें से मारा जाता है।,उपर सड़वा वाला सोराने सोरिया लाकड़ी थी मारे से ।
